Id	quartile	guideScore	mfe	gq	dr	result
PPIB-0	1	0.1977970435991705	-7.3	0	1	..(((((....((((.........)))).)))))..........(((((((......))))))) ( -7.30)
PPIB-1	1	0.14253329167657763	-6.7	0	1	..(((((....((((.........)))).))))).............................. ( -6.70)
PPIB-2	2	0.37458966597005067	-9.4	0	0	(.(((((....((((.........)))).))))).).(((((((((........))))))))). ( -9.40)
PPIB-3	1	0.2856802908672409	-8.8	0	0	..(((((....((((.........)))).)))))(((((((.((........)))))...)))) ( -8.80)
PPIB-4	2	0.35617859266500584	-10.0	0	0	........(((((.....((((.....((((((.........))))))..)))))))))..... (-10.00)
PPIB-5	4	1.3986048261045885	-10.5	0	0	...........((((.........))))(((...((((....))))...)))............ (-10.50)
PPIB-6	4	1.1100196383891456	-10.3	0	0	(.(((((....((((.........)))).))))).)(((.((............)).))).... (-10.30)
PPIB-7	3	0.8070655388677612	-11.1	0	1	..(((((....((((.........)))).)))))............(((((......))))).. (-11.10)
PPIB-10	2	0.5561867221239818	-15.9	0	0	(.(((((....((((.........)))).))))).).((((((....))))))........... (-15.90)
PPIB-12	3	0.7504433249467941	-12.4	0	0	(.(((((....((((.........)))).))))).)..((..((((........)))).))... (-12.40)
PPIB-13	1	0.20913552104862748	-17.9	0	0	..(((((....((((.........)))).)))))(((((((((((...)))..).))))))).. (-17.90)
PPIB-14	1	0.2158799592232048	-16.1	0	0	(.(((((....((((.........)))).))))).).(((...)))(((((((....))))))) (-16.10)
PPIB-15	2	0.42917844827380136	-17.3	0	1	..(((((....((((.........)))).)))))..(((((..((.((....))))..))))). (-17.30)
PPIB-16	4	1.1326992922816448	-10.7	0	1	..(((((....((((.........)))).))))).....((((((.........)))).))... (-10.70)
PPIB-18	3	0.9547191212096917	-9.9	0	0	.......................((((.((....(((.((.......)))))....)).)))). ( -9.90)
PPIB-19	3	0.6434030202345369	-11.8	0	0	........................((((((.........)))))).((((.........)))). (-11.80)
PPIB-20	3	0.6721838819432238	-16.5	0	0	(.(((((....((((.........)))).))))).)(((((...((........))...))))) (-16.50)
PPIB-22	4	1.1493079832778612	-10.5	0	0	(.(((((....((((.........)))).))))).)...(((...((......))....))).. (-10.50)
